NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,487.34,2111.1,4126.9,1582,1613.4,1594.4,1531.9,1432.6,1303.6,1152.1,985.18,810.25,634.73,466.17,312.23,180.7,79.454,16.512,0.06169,7.7866,56.711,177.9,402.41,761.27,1285.4,2005.6,2952.8,4157.6,5650.6,7462.2,9623,12163,15113,18503,10008,9543.7,8744.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5553.3,5407.1,3598.7,167.98,4844.8,10106,27223,35470,42414,48623,54131,58972,63179,66785,69822,72324,74320,75844,76925,84244,93358,97630,97058,91643,81385,66283,52359,37596,21895,5311.9,12096,30273,45651,21903,3542.6,9429.4,17013,19208,16015,7434,6535.6,25894,37372,40501,43640,46783,44825,26942,11320,2040.7,13141,21981,28560,32878,34936,34733,32270,21895,9725.2,2356.1,14316,28644,43226,54682,63012,68217,70296,69250,65078,57780,47357,34464,21953,9978.3,1425.1,12222,22378,28837,17279,4902.1,8294.5,22310,37146,52800,56745,43962,32329,21881,12652,4673,2023.9,7407.8,11449,14118,15386,15226,11179,7426.1,3620.6,147.98,3884.9,7595.4,11285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16208,6236.2,2985.5,11478,19263,26361,32794,38583,43749,55037,63910,69878,72939,73094,68393,59307,48207,35131,20116,3202,15573,25300,2400.2,15908,29626,38754,43290,43236,38591,29356,15529,2887.9,21257,38344,46186,25443,9062.6,2955.5,10611,13904,12835,7402.6,2392,16549,35069,57951,55805,38875,24706,13298,4650.4,8689.8,19129,23894,22983,16397,4136.2,13800,36754,32721,30363,29682,30678,33349,37697,34351,15634,825.33,15028,26973,36662,44093,44112,43812,44683,46723,49933,54313,59863,52719,47930,45524,45501,47860,52602,59726,60212,50344,42687,37240,34004,32100,29610,28235,27973,28826,30792,33873,38067,43376,49798,57335,54201,46576,25091,4329.7,12631,24925,29509,31149,29845,25599,18409,8275.3,4801.5,18419,18166,17788,17291,16684,15977,15176,13181,11991,11895,12894,14989,18178,19424,15328,11615,8288,5347.6,2795.4,632.8,1139,2518.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7545.7,3324.4,2219.4,9081.8,17258,26745,37537,49629,63017,74134,74537,73207,70145,65349,58820,50559,40564,28836,17347,11503,5012.3,2101.1,10293,25479,37759,49784,58252,61411,59261,51802,39035,20959,2426.5,29959,27882,23169,15822,5839.3,6778.1,22031,33522,38594,42350,44791,44470,8942.1,19530,40946,55305,62609,62856,56047,42181,16392,21179,66750,69277,63579,61081,56705,50451,42318,32307,20417,6649.5,8996.5,26521,40240,28272,11091,11301,27909,34299,38850,41561,42432,41463,38654,34006,10687,14808,35529,51476,62648,68335,71864,74063,74932,74471,72680,69559,65109,47216,22301,4023.6,31758,35060,26015,19401,15217,13464,14140,17247,22784,30751,41149,38947,17792,22207,28547,34215,39210,43532,47181,50158,52461,54092,55049,55334,42266,25450,10182,2262.9,11884,18680,22653,23802,22127,17363,12047,7917.7,4974.9,3218.7,2649.1,3266.1,5069.8,8060.1,12237,17601,21825,24301,27468,29934,30354,29125,26247,21719,15542,7715.5,1760,12885,25659,40082,51890,37189,24858,14917,7384.1,2280.3,375.52,564.22,1733.2,6535.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,605.58,460.95,1043.6,3904.7,8118.6,13682,20590,28839,38426,49346,61594,75167,76199,74933,71935,67203,60739,52542,42611,30948,17552,2423,14439,33034,16012,8093,26889,40376,48555,51424,48985,41237,28180,9814.9,13859,39260,40513,39132,35115,28463,19177,7255.2,7301.4,24493,42552,48113,32037,5109,35198,56776,66487,68199,61909,47620,25331,4959.1,43249,69567,65328,58497,49075,42058,36146,28357,18688,7142.1,6282.5,21585,38767,39362,33116,21657,4986.3,16897,38239,41728,43377,43186,41156,37285,10466,14496,34682,50095,60733,66597,67687,70489,75080,78341,80272,80873,80016,63934,46441,27539,7228.2,14493,37623,35644,30449,27684,27350,29446,33973,40929,46738,28980,10347,9162.7,26029,17372,9388.4,2077.4,4560.7,10526,15818,20438,24385,27658,22161,11269,856.87,14218,26835,34955,40252,42724,42372,39197,33115,27189,22448,18895,16528,15348,15354,16547,18927,22493,20886,14736,22729,46558,49220,46228,41587,35296,27356,17767,6528.4,6359.3,20896,37082,54918,52337,36269,22623,11420,2678.1,3582.8,7343.7,8585.8,7290.4,3438.8,2987.4,12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2362.4,371.61,241.62,519.53,2651.8,6151.7,11016,17240,24822,33756,44039,55667,68635,71595,70361,67395,62696,56264,48099,38201,26569,13205,1891.4,13644,10785,3802.3,7306.4,25172,38515,46549,49274,46690,38797,25596,7085.5,16733,41294,44213,44497,42146,37160,29539,19283,6391.4,9134.6,27296,48092,23840,9512.2,34864,52216,61568,62920,56271,41622,18973,11677,50326,64383,62183,57392,50010,40038,32153,24535,15038,3663.6,9589.5,24721,38487,40314,36929,28331,14521,4501.3,28736,41658,42776,42055,39493,23000,4081.1,26388,43921,56679,64663,67873,66309,61492,67279,71736,74863,76659,68961,55885,41399,25504,8199.6,10515,30638,40331,35846,33791,34167,36973,42209,49875,34482,17547,264.1,18951,38513,37089,27947,19478,11682,4558.6,1891.9,7669.4,12774,16585,9086.4,353.13,9615.3,20819,33257,44296,48842,50564,49463,45537,38864,32632,27587,23728,21056,19570,19271,20159,16759,9769.5,3150.7,3097.9,8140,29143,49722,55607,49260,41263,31617,20322,7377.3,7216.5,23460,41352,60893,49439,32713,18438,6630.3,2689,9501.3,13788,15529,14707,11304,5300.4,3321.4,14579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,5206.1,1016.7,1778.2,3181.5,3196.2,1825.4,927.78,5060,10568,17447,25696,35308,46281,58611,63368,62166,59232,54565,48165,40032,30166,18568,5235.8,1043.7,5808.9,9464.9,13548,20015,28263,38548,46437,49018,46289,38252,24906,6251,17713,41585,46170,48119,47433,44113,38157,29566,18341,4479.9,10997,22435,20169,8310.9,33303,50296,59288,60280,53271,38263,15254,15755,54764,58419,58259,55508,50166,42233,31710,22819,13494,2291.1,10791,25750,37506,42193,41669,35932,24983,8821.6,12552,39138,41170,39917,35466,6265,18162,37815,52693,62798,68127,68683,64464,55471,53939,59592,63914,63463,54803,44734,33255,20366,6068.1,9639.4,26756,44934,41159,39814,40899,44415,50361,39922,24685,8573.1,8415.1,26279,45019,54644,44344,34717,25762,17481,9872.7,2937.1,3325.6,4407.2,933.27,7508.8,15319,24365,34646,46162,55970,56942,55090,50414,43196,36658,31307,27143,24166,22375,17235,9406.5,1948.6,5139,11856,18203,4616.9,13559,31313,48643,57895,48192,36840,23838,9187.8,7112.1,25061,44660,64290,44469,27106,12218,175.23,10054,17399,22193,24416,24049,21076,15476,7233.4,3670.8,17254,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,24208,5317.9,3407.8,7039,9264.8,10088,9511.2,7537.7,4170.6,587.01,6731.7,14260,23168,33453,45109,51518,50349,47447,42812,36444,28343,18509,6942.7,10342,17013,22576,27029,29227,31052,34657,40045,47214,50657,47784,39602,26111,7311.5,16797,40133,46382,49997,50977,49322,45031,38106,28625,20332,12393,4808,8597.7,14306,34381,51014,59647,60279,52911,37542,14174,17195,47204,51674,53554,52843,49541,43649,35165,24091,14056,3024.6,9885.5,24674,37452,45000,47336,44460,36372,23072,4558.9,19166,38558,36774,16543,10004,31777,48776,61000,68450,71126,69027,62154,50507,35059,41908,47426,43195,37542,30479,22007,12125,833.73,11867,25978,41497,46387,45752,47547,51772,45301,31763,17349,2058.9,14107,31148,49065,67858,58578,47793,37681,28242,19475,11382,3960.8,4715.7,7898.3,12316,17969,24857,32980,42338,52931,61855,59253,53827,46109,39266,33610,29141,22314,13647,5350,2576.8,10133,17319,24135,30581,15542,191.63,14735,29239,43320,56082,43024,28317,11960,6046.1,25701,47006,57906,37439,19454,3972.3,8988,19408,27268,32550,35236,35307,32744,27531,19649,9079.7,4193.5,5402.7,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,23894,5357.2,11858,7878.5,9338,18475,20140,20390,19229,16660,12686,7310.4,535.79,7634.1,17196,28145,36044,34907,32038,27435,21099,13031,4562.7,14250,22828,30297,36657,41908,43234,40416,39380,40125,42652,46960,51173,42846,29211,10267,13986,36936,44851,50132,52777,52787,50162,45142,40349,35909,31824,28093,32967,38253,42091,54371,62644,62916,55189,39461,15733,15996,37640,44150,48070,49399,48137,44284,37841,28806,17181,5864.1,6874.4,22703,38325,48734,53931,53916,48689,38249,22597,1733.1,24343,26752,1915.2,25808,44927,59271,68841,73637,73658,68905,59378,45077,26001,18684,21062,19824,17178,13122,7656,781.01,7503.9,17198,28302,40815,51531,51605,54110,50618,38778,26063,12471,1995.6,17338,33557,50652,68622,70651,58708,47438,36840,26916,17664,10994,10784,11809,14069,17564,22294,28259,35459,43894,53565,61954,55777,47604,40456,31997,22491,13355,4588.9,3806.7,11832,19487,26772,33686,37581,24634,12111,9.849,11668,22922,33754,44162,33756,15694,4018.4,25380,48390,49451,28354,9767.8,6289.7,19799,30742,39098,44851,47981,48471,46301,40930,28290,13737,2875.4,1123.6,4282.2,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,23989,5784.3,11068,26584,31506,15369,643.2,16530,32291,34131,32393,29237,24663,18676,11279,2474.5,7733.6,16948,15843,13006,8435.2,2131.7,1174.8,12769,23253,32629,40895,48052,54100,55569,48109,42430,38534,36418,36084,37532,40761,34206,15117,9280.3,31996,41577,48522,52833,51997,50348,49054,48114,47528,47296,47419,52939,57803,61219,63186,68280,68193,60106,44018,19930,12158,27296,35846,41806,45175,45953,44140,39736,32742,23156,10980,1757.4,21643,40125,53395,61453,64299,61933,53131,38446,18645,6275.4,46220,17037,8014.9,28086,43180,53296,58434,58594,53777,43981,29207,9456.5,1180.4,3101.8,5646.4,6289.3,7338.8,9797.8,13666,18944,25632,33729,43235,54151,57374,55873,45732,34715,22822,10054,3590.6,18111,33507,49779,66926,80562,67460,55032,43277,32194,21784,16166,13798,12665,12767,14104,16676,20484,25526,31803,39316,48064,56264,46284,35938,25963,16358,7123.2,1741.1,10235,18359,26113,33496,40509,42016,31895,22197,12923,4071.6,4356.6,12362,19944,27103,20389,1029.2,24097,48813,38932,17225,1945,18560,32600,44046,52881,59086,58865,53438,46098,36845,25680,12601,6087.5,2150.6,938.07,3174.9,NaN,NaN,NaN,NaN
