NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4111.7,3491.2,2938.8,1988.1,1848.7,1696.6,1534.2,1364.6,1190.6,1015.4,842.47,675.2,517.33,372.77,245.61,140.14,60.878,12.521,0.011694,26.83,127.57,286.46,488.27,718.27,962.23,1206.4,1437.6,1643,1810.2,1927.4,1983.1,1966.3,1866.4,1673.1,1095.8,403.65,480.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3084,2164.4,1151.2,45.481,1151.4,2487.6,6988.2,9072.6,10867,12476,13905,15160,16247,17173,17943,18564,19041,19381,19588,19778,19933,19925,19751,19414,18912,18245,17626,16929,16153,15304,14385,13402,12341,10720,9175.8,7709.2,6320,5008.3,3774,2617.1,1537.6,535.51,759.56,2290.3,3870.6,5497.3,8388.8,14985,20249,24181,26781,28049,27984,26588,23859,19798,14405,8751.6,3332.7,1957.6,7107.6,9382.8,7795.1,6627.7,5880.7,5554,5647.7,6161.7,7096.1,8450.8,10226,4993.5,831.4,6397.5,11686,16680,21360,25376,26550,25861,23308,18892,12612,4469.4,666.85,666.36,1851.1,2879.1,3742,4431.5,4939.2,5256.8,5375.9,5288.1,4984.9,4458.1,3826.1,3878.2,1764.8,66.83,1611.7,2864.8,3821.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3196.6,1114.4,474.2,1578.1,2206.1,2367.1,2070,1323.8,137.48,530.91,1073.4,1564.4,2004.1,2392.3,2461.3,1799,1009.1,92.127,951.31,2120.7,3415.2,4215.8,590.3,2208.5,4180.5,5325.7,5644.2,5135.9,3800.8,1638.9,1349.7,5165,11770,21727,18105,15911,13803,11735,9705.8,7716.6,5767.1,3857.3,1987,156.49,1634.4,3385.7,5470.8,7489,8877.1,9634.9,9762.6,6531.9,2834.7,1084,5224.2,9585.9,14169,18974,23895,25059,25247,24460,22698,19960,16248,10975,5549.5,1452.7,1315.4,2754.9,2865.6,1647.7,3892.8,10021,15349,19876,23603,26529,28278,19504,11359,3845.2,3039.2,9293.7,14918,19913,22045,21084,20426,20072,20021,21407,24110,25380,25217,23621,20592,16130,10235,2906.9,5854,16048,20090,23289,24988,25779,26064,25344,21981,18700,15503,12389,9357.8,6410,3545.3,1552.9,4939.7,7968,10634,12935,14866,16424,16628,16915,17543,18513,19825,21479,20638,15320,10762,6973.6,3961.8,1734.8,300.21,334.16,160.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2920.2,1059.1,589.43,2028.3,3260.3,4288.3,5115.2,5743.8,6177.1,6811.2,8717.3,10122,11025,11426,11325,10723,9619.9,8014.7,5907.9,2004.8,2873.5,8235.5,8764,6537.7,4362.8,447.94,3120.8,6130.6,8581.4,10473,11806,12580,12795,12451,11694,10437,8649.8,6332,3483.6,104.71,2668.4,2728.5,3657.3,5454.8,8121,11691,14906,17520,19532,20941,21749,21954,21557,20558,13473,5737.3,275.57,2157.1,5648.6,8090.2,9482,9823.8,9115.8,7358,4550.2,692.65,4214.8,10013,14527,17729,19619,20974,21371,20460,18240,14712,9874.6,3729.2,3724.7,3993.4,322.49,3372.9,7092.9,10837,14936,18278,20623,21970,22319,21671,20025,17382,12091,5323,1858.3,9452.9,8016.2,3271,880.97,4439.9,7405.7,9778.3,11558,12744,13338,13338,5152.9,4059.2,10786,16445,21043,24580,27055,28468,28820,28110,26339,23507,19612,9483.1,982.47,9868.9,16883,22026,25296,26695,26222,23876,20135,16644,13229,9888.3,6623.2,3433.3,318.65,2720.8,5685.1,8574.2,11388,10530,10981,19191,25385,27287,28205,28138,27087,25052,22033,18029,13041,7069,112.51,6054.1,4552.3,3259.7,2178.9,1312.2,662.05,230.9,21.092,34.998,274.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2767.3,766.66,1011.6,2570.4,3912.4,5040.7,5958,6667.3,7171.5,7473.4,7575.9,7482.1,8307.2,8830,8851.1,8370.7,7388.6,5905,3919.7,1432.8,1555.7,5045.8,9037.5,12134,8695.8,4327.6,276.63,3215.4,6148.4,8522.5,10338,11594,12291,12429,12009,11029,11069,10786,9973.7,8630.5,6756.6,4352.3,1417.4,2048.1,6044.1,7166.4,8945.7,14599,19651,24100,25025,23055,20465,17253,13419,8965.2,3889.9,1771.9,5649.8,8216.2,9471,9808.1,9776.9,8695.8,6564.8,3384,846.7,6127.3,12458,17476,20763,22737,23399,22749,20620,16772,11615,5149,2625.2,11708,10835,7664.3,4468.9,1249,1995.5,5264.5,8558.1,12643,16259,18877,20497,21120,20745,17130,12988,8432.7,3464.1,1917.7,7712.7,2434.3,3378,8597.1,13223,17256,20696,23543,20624,13105,5668.5,1685.2,8806.9,14712,19555,23337,26057,27716,28313,27848,26322,23735,16583,8231.7,280.8,8953.6,16465,21319,24300,25409,24646,22012,18168,14507,10921,7409.5,3973.6,612.83,2672.7,5883,9018.1,12078,14294,15023,18224,22557,24841,26103,26381,25675,23985,21310,17651,13008,7380,768.19,6827.9,8417.7,6593.8,4984.1,3591.1,2417.2,1464.7,736.06,233.71,40.025,82.785,107.76,533.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2753.5,674.73,1176.7,2803.6,4208.8,5395.3,6365.8,7123.3,7670.7,8010.9,8146.8,8081.3,7817.4,8052.3,8134.2,7714.5,6793.2,5370.3,3445.8,1019.6,1908.1,5337.4,9268.4,10294,5911.4,2692.5,1175.6,1382.7,4556.8,7172.1,9228.3,10726,11664,12043,11864,11125,9828,10353,10558,10233,9377,7990.4,6073.4,3625.7,647.53,2861.2,6900.5,10319,15148,16061,16353,16024,15073,13502,11309,8495.7,5061,1005.1,3757.1,8101.5,11134,12856,13265,12454,10661,7818.8,3926.5,1015.7,7007.8,13787,17772,20445,21805,21854,20590,18013,13285,6659,1275.2,10518,15521,12612,9678.9,6721.2,3739,732.33,2298.9,5354.7,8684.4,12936,16189,18445,19704,18505,15882,12846,9397.4,5535.2,1259.8,3428.8,2232.5,4409.9,10459,15915,20778,25048,25031,18358,11768,5260.2,1164.2,7505.7,13503,18469,22373,25216,26998,27717,27376,25972,22634,15501,8206.8,751.52,6865.1,14643,20864,23700,24665,23758,20978,17078,13331,9659.4,6062.9,2541.5,904.6,4275.6,7571.3,10556,12456,13223,12858,17177,21760,24277,25172,25131,24105,22094,19100,15121,10158,4210.3,2721.3,10637,9659.7,7673.6,5904.2,4353.9,3025.2,1920.4,1042,392.42,26.09,211.13,160.37,128.51,657.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,2786.6,623.94,1306.3,3007,4481,5731.2,6760.4,7571.6,8167.6,8551.4,8725.9,8694,8458.7,8022.9,7764,7405.1,6544.5,5182.4,3318.6,953.27,1913.7,5282.3,9152.5,8703.2,5174.5,573.39,2771.7,2850.9,3789.3,5587,7868.9,9607.3,10787,11407,11469,10972,9915.2,8299.9,9369.5,10062,10224,9855,8955.8,7526,5565.6,3074.7,53.217,1845,2843,4359.3,6291.7,7603,8293.2,8362.3,7810.3,6637.2,4843,2427.8,608.61,5401.8,10213,13712,15900,16776,16340,14313,10759,6155.3,501.65,6202,12406,15777,17836,18583,18017,16139,12949,8447,608.32,8794.6,19506,17179,14508,11813,9093,6348.6,3579.6,786.07,2032,4874.6,8851.8,12741,15632,16860,15757,14241,12311,9968.7,7212.9,4043.9,461.66,2175.1,5297.4,12177,18463,24156,27217,21391,15647,9986,4408,1087.2,6499.6,12067,17155,21182,24148,26052,26894,26675,25394,20896,14820,8582.4,2183.8,4375.9,11097,17979,23033,23853,22801,19877,15916,12084,8326.8,4644.8,1038.1,2493.5,6229.1,9299.9,11238,12045,11718,10260,16206,21039,23806,24507,23654,22308,19978,16663,12365,7081.7,814.51,6437,13307,10941,8791.5,6861.5,5153.2,3668.9,2411.2,1382.4,584.83,20.919,307,396.6,245.55,148.44,787.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,971.25,244.11,1396.6,3176.9,4725.4,6045,7138.6,8009,8659.2,9092.1,9310.6,9317.7,9116.2,8709.3,8099.7,7442.4,6642.7,5341.3,3538.3,1233.7,1572.5,4880.3,8689.8,7362.7,4687.3,939.69,3880.2,7697,6338.3,5839,6198.8,7418,9496.4,10521,10824,10568,9752.3,8378.2,6445,8117.2,9296.9,9946,10065,9652.6,8710.1,7237,6961.9,6579.6,5672.9,4935.2,4318.8,2206.7,124.02,1833.7,2922.3,3389.7,3236.1,2461.4,1065.6,951.32,6705.8,11983,15949,18603,19946,19977,18696,15386,10070,3705.2,3709.9,8734.2,11492,12937,13070,11890,9398.5,5594.6,478.58,6537.8,17409,21366,18957,16524,14066,11584,9077.5,6546.3,3990.5,1410.2,1194.7,4007.3,8531.9,12059,12612,12615,12206,11383,10147,8497.2,6434.5,3958.7,1069.6,6040.6,13750,20867,27184,22204,17307,12492,7760.5,3111.7,1454.3,5937.4,10403,15614,19763,22852,24878,25843,25747,24418,19559,14539,9358.6,4016.8,1486.2,7150.4,12976,18962,22974,21777,18709,14683,10765,6922.7,3155.3,1313.1,5555.1,8664.8,10642,11487,11200,9780.5,8162.2,15311,20394,23411,24362,23246,20285,17635,14001,9382.3,3779.6,2807.4,10379,14792,12260,9946.4,7855.1,5987.9,4347.5,2936.1,1756.1,810.01,100.08,371.3,601.81,589.13,330.96,174.98,610.74,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,695.38,185.85,482.54,2390.5,4679.1,6332.9,7496.6,8432,9142.1,9629.7,9897.8,9949.3,9787.2,9414.5,8834,8048.9,7087.6,5847,4104.7,1860.9,884.55,4131.6,7021.7,6272,4450.1,1555.9,2410.6,7449.4,12083,9286.8,7349.6,6271.7,6053,6693.6,8193.4,9913.5,9339.4,8206.3,6514.3,4399,6596.5,8263.4,9399.8,10006,10081,11372,12292,12686,12556,11902,11402,10787,8989.4,6083.9,3354.7,1246.7,240.26,1106.1,1350.8,974.5,613.79,7669.1,13413,17845,20966,22775,23272,22458,20332,15672,8595.1,683.98,2771.9,4915.5,5746.8,5265.8,3472.6,367.23,4050.6,9780.6,16823,25172,23025,20854,18659,16439,14195,11926,9632.4,7314.4,4971.8,2604.7,213.08,3562.2,6447.8,7970.9,9080.8,9777.5,10061,9931.1,9388,8431.8,7062.3,5279.6,6639.3,15179,23126,20798,16747,12779,8893.5,5091,1371.4,2265.3,5819.2,9290.2,13845,18117,21327,23477,24564,24590,22424,18622,14659,10535,6250.3,1804,2803.4,7571.9,12502,17592,20686,17473,13378,9375.2,4191.9,1221.4,5502.3,8650.9,10667,11551,11303,9922.1,7409.1,7093.4,14493,19826,23092,24293,23427,20495,15497,11112,6174,251.44,6655.4,14546,16315,13615,11137,8883.9,6857.3,5059.8,3494.1,2162.3,1067,210.49,404.93,788.93,714.86,82.642,405.98,108.25,170.61,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,417,131.42,315.11,921.97,2277.6,4847.5,6919.1,8492.5,9567.4,10161,10484,10586,10469,10136,9589.8,8834.1,7871.6,6699.4,5018,2834.9,150.2,3036.1,5327.5,5431.2,4462.7,2421.9,691.18,4876.5,10134,15930,11696,8321.2,5805.5,4149,3351.8,3413.8,4335.1,6115.7,6333.5,4323.7,2122.5,4807.3,6961.5,8641.5,11387,13607,15303,16474,17121,17244,16841,16556,15944,14148,11169,7272.1,4144.6,1638.2,247.14,1511.3,2154.4,770.08,8291.9,14502,19401,22988,25263,26227,25880,24220,21250,15171,8322.9,5481,3951.3,3733.8,4828.6,7235.6,8889,11749,16078,21875,25991,24772,22544,20331,18133,15949,13780,11626,9486.5,7361.6,5251.4,3156.1,2761.9,170.6,2936.5,5152.7,6955.7,8345.5,9322.1,9885.5,10036,9772.5,9096.1,8006.6,16463,17172,13968,10846,7806.8,4850.7,1977.5,812.92,3520.4,6145.1,8686.9,11847,16242,19576,21847,23058,23206,20831,18086,15180,12113,8884.3,5494.8,1944.1,1767.7,5640.6,9674.6,13870,16169,10286,3701.4,1750.8,6070.7,9258.2,11313,12236,12027,10685,8210.8,4604.4,6100.6,13750,19333,22849,24300,23684,21002,16253,9438.6,2739.5,3502.8,10729,18940,17875,15007,12363,9947.1,7760.1,5805.1,4084.3,2600.1,842.62,503.2,1125.6,1024.6,200.17,1347.7,779.73,159.75,3.7093,291.61,NaN,NaN,NaN,NaN
