NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5683,5.0401,1.3625,188.44,163.25,140.02,118.7,99.247,81.616,65.77,51.677,39.309,28.646,19.672,12.376,6.7554,2.8122,0.55577,0.029702,0.13275,0.58563,1.2424,1.977,2.6678,3.1953,3.4424,3.2938,2.6367,1.36,0.64709,3.4877,7.27,12.097,18.069,252.18,270.93,288.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.629,48.882,19.956,0.5736,9.544,13.903,182.88,214.44,224.39,217.48,194.16,154.91,100.21,30.509,53.692,151.91,263.66,388.44,525.76,542.37,429.91,339.35,270.69,223.95,199.1,196.17,181.71,165.21,147.26,127.95,107.33,85.489,60.379,26.79,107.75,182.51,251.06,313.41,369.55,419.48,463.21,500.74,510.1,506.6,503.74,501.58,516.7,580.92,625.23,649.64,654.14,638.73,603.41,548.18,473.05,378,263.05,200.53,153.96,107.98,62.703,76.047,169.94,253.89,327.89,391.95,446.06,490.23,524.45,548.73,563.07,475.5,381.13,291.29,206.17,125.92,50.712,10.409,31.2,60.303,97.72,143.45,197.49,259.85,249.31,130.96,25.061,67.878,147.36,212.9,264.01,300.2,321.01,325.94,314.54,286.34,206.4,132.17,57.476,2.0576,46.058,74.163,86.013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108.73,40.634,18.838,69.887,112.71,147.5,174.46,193.78,205.65,72.864,64.712,191.22,306.66,411.04,465.95,419.16,361.07,291.99,212.18,121.96,21.594,70.725,32.778,9.8574,1.9641,9.0965,31.256,68.443,120.66,187.9,270.16,367.46,392.43,310.25,307.09,157.55,38.414,48.516,103.24,125.76,116.07,74.177,0.084088,106.22,244.73,415.44,444.11,296.43,156.83,25.298,98.163,151.16,197.36,242.27,285.88,328.19,369.21,408.94,441.74,298.7,163.96,37.531,80.596,190.42,291.93,274.99,116.73,21.638,140.1,238.67,317.34,376.12,379.9,324.93,220.11,65.435,139.1,393.48,683.4,608.25,549.68,507.69,482.26,473.41,481.13,505.42,446.13,250.74,54.225,143.42,342.2,465.21,439.07,410.39,379.17,345.4,309.1,270.25,228.87,184.94,138.47,89.462,68.083,69.115,106.36,154.01,206.95,264.56,296.78,286.94,235.04,141.07,5.0348,173.07,393.23,592.55,378.41,182.36,4.7427,154.11,293.84,414.13,445.42,454.17,455.56,449.6,436.29,415.63,390.64,360.97,319.66,266.46,201.11,123.35,32.927,70.407,186.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.677,18.63,11.434,43.508,77.581,113.65,151.69,191.71,233.69,276.03,304.42,319.21,320.41,308.02,282.04,242.46,189.3,122.54,42.187,40.634,128.14,223.53,226.08,166.31,95.467,35.102,18.828,67.8,111.83,150.92,185.06,214.27,238.52,257.84,102.75,56.807,176.77,257.14,297.91,299.08,287.36,342.21,397.53,453.33,509.61,532.42,533,525.7,510.53,487.5,456.59,417.81,371.16,316.64,184.33,33.512,118.93,344.72,318.62,296.35,277.9,263.29,252.5,245.54,242.41,243.1,247.62,223.39,21.144,140.96,262.9,278.31,252.36,220.26,182.02,137.64,87.137,30.705,32.977,88.883,128.99,156.2,170.47,171.82,253.95,327.13,355.45,338.9,277.47,171.18,20.197,176.09,278.47,291.04,281.98,251.31,161.8,61.663,29.441,111.4,184.29,248.09,302.81,348.45,385,412.47,392.52,360.31,289.91,236.86,201.3,183.21,182.56,199.36,233.61,285.34,354.56,441.29,545.52,475.28,318.16,159.04,56.375,10.363,20.302,86.764,209.75,389.18,496.82,412.58,329.68,248.13,167.93,89.084,11.592,64.571,139.37,212.82,284.93,214.47,84.995,55.376,183.3,287.93,363.18,409.04,425.53,412.63,370.35,298.69,197.65,67.221,92.585,250.35,266.12,266.63,251.68,221.08,174.65,112.18,33.496,61.601,173.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.419,9.9582,14.585,41.201,69.883,100.62,133.41,168.24,205.1,243.98,284.88,327.78,342.07,338.96,322.24,291.94,248.05,190.56,119.48,34.812,63.45,175.3,300.75,404.33,437.35,373.73,291.93,215.07,143.15,76.177,14.149,42.938,95.079,142.28,184.53,221.84,48.938,114.42,238.17,322.33,366.89,371.86,337.23,263.01,149.2,179.67,228.85,238.44,240.15,234,216.01,178.47,122.44,48.013,45.409,156.81,286.83,423.72,117.23,142,353.93,460.48,440.75,424.85,412.78,404.53,400.12,399.52,402.76,251.49,90.417,31.111,111.69,152.39,145.45,101.59,51.935,11.772,68.725,136.96,197.34,243.62,276.98,297.41,304.89,299.44,281.04,293.12,286.05,234.14,137.43,9.4899,191.25,254.64,290.33,304.4,296.85,267.68,216.91,104.76,10.198,104.15,194.37,275.64,347.85,410.99,439.24,437.35,429.16,414.68,385.01,331.58,295.64,277.19,276.23,292.76,326.77,378.28,447.27,533.75,499.79,431.08,362.95,295.45,209.81,150.23,147.06,200.31,309.99,476.11,533.05,467.37,403.03,340.05,278.41,218.12,159.18,101.59,45.355,9.5437,49.684,77.369,108.36,122.68,11.543,127.83,214.74,272.26,300.41,299.17,268.55,208.55,119.16,0.40712,147.75,243.21,286.93,315.03,327.33,323.63,303.74,267.47,214.63,145.02,58.462,45.235,166.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.859,7.3418,14.287,38.021,63.852,91.771,121.77,153.85,187.99,224.18,262.42,302.7,345.01,357.86,345.79,320.12,280.86,228.01,161.57,81.537,12.089,119.31,240.12,281.95,203.97,214.5,326.21,398.16,312.3,231.39,155.41,84.388,18.309,42.84,99.034,150.29,196.59,13.525,151.74,277.39,363.44,409.9,416.77,384.04,311.71,199.79,48.291,24.03,43.342,62.328,63.079,45.429,9.8196,45.688,118.75,210.37,320.51,449.15,461.32,181.16,51.747,237.34,375.66,430.86,414.32,401.6,392.72,387.66,386.43,369.68,188.99,48.784,52.728,112.77,132.92,113.07,63.83,14.649,57.518,125.12,194.72,250.51,293.41,323.38,340.42,344.51,335.66,313.86,285.12,260.38,190.83,76.8,84.106,202.94,260.96,297.39,312.21,305.41,277,227,131.51,18.948,95.715,194.42,284.37,365.3,418.91,432.17,439.15,439.83,434.22,422.31,376.5,340.41,321.81,320.7,337.07,370.94,422.29,491.13,544.54,481.56,419.12,357.24,295.96,235.37,178.38,168.56,215.16,318.19,477.65,513.89,457.48,402.43,348.72,296.37,245.36,195.7,147.4,114.75,95.677,79.148,65.164,25.443,1.549,1.4337,82.273,175.01,238.37,272.34,276.93,252.14,197.97,114.41,1.4819,140.84,223.23,281.13,323.25,349.37,359.32,352.9,329.92,290.18,233.5,159.69,68.554,40.087,166.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.024,5.5499,13.066,33.816,56.693,81.69,108.8,138.01,169.33,202.73,238.21,275.76,315.38,357.05,371.63,350.6,315.97,267.76,205.95,130.56,41.567,61.015,177.19,164.62,95.266,35.1,31.395,121.16,218.86,324.47,324.45,239.48,159.46,84.379,14.258,50.962,111.21,166.52,27.621,194.75,322.29,410.24,458.6,467.36,436.52,366.1,256.07,109.41,43.551,83.732,62.932,60.603,76.784,111.5,164.73,236.47,326.72,435.46,562.71,462.9,209.09,4.6079,156.83,268.81,333.52,342.93,329.58,320.06,314.37,312.5,235.59,75.84,46,125.2,164.86,164.48,124.12,44.886,29.125,93.914,167.7,232.87,285.28,324.79,351.38,365.02,365.72,353.48,328.29,290.18,240.73,153.62,24.92,129.05,209.28,268.04,305.21,320.77,314.72,287.07,237.85,161.66,38.724,84.223,191.14,289.73,369.49,397.87,419.99,435.83,445.38,448.64,445.6,419.74,383.5,364.75,363.49,379.71,413.42,464.62,533.31,526.8,470.1,413.93,358.31,303.26,248.84,195.16,162.12,202.06,298.43,451.24,469.87,422.75,376.97,332.55,289.47,247.75,222.55,212.09,204.18,198.8,195.96,195.67,137.13,98.046,86.058,101.16,158.28,227.46,267.26,277.69,258.72,210.38,132.66,25.552,104.49,192.49,264.72,320.97,361.06,384.79,391.97,382.4,355.89,312.26,251.31,172.85,76.704,37.32,169.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,168.1,41.247,11.16,28.828,48.651,70.625,94.741,120.99,149.37,179.87,212.49,247.2,284.02,322.92,363.9,383.37,353.38,309.8,252.63,181.87,97.516,0.43675,111.97,52.354,8.3892,59.923,102.28,111.97,44.144,31.608,115.28,206.87,306.39,239.36,155.29,76.153,2.2168,67.304,131.6,74.406,243.44,372.88,462.72,512.97,523.63,494.69,399.4,286.13,164.5,41.401,79.435,138.73,135.06,149.91,183.25,235.1,305.45,394.3,501.65,627.5,428.47,201.02,21.639,112.44,198.04,236.43,227.58,196.87,186.76,180.46,177.99,51.846,90.599,189.57,248.8,267.97,247.05,186.1,85.64,45.099,116.66,190.8,252.65,301.67,337.79,360.98,371.23,368.54,352.91,324.34,282.84,227.1,122.59,32.787,135.47,216.38,275.86,313.77,330.07,324.78,297.89,249.44,179.56,62.922,69.984,184.58,291.13,334.51,371.72,402.69,427.4,445.82,457.94,463.77,461.27,424.9,406.01,404.6,420.66,454.21,505.25,566.75,515.83,465.42,415.53,366.17,317.36,269.14,221.57,174.75,161.02,250.73,396.87,401,363.16,326.67,291.52,273.74,271.89,272.59,275.82,281.6,289.92,300.77,305.29,226.73,175.25,150.88,153.6,183.42,239.55,285.18,301.43,288.3,245.79,173.9,72.621,48.465,151.11,237.81,308.34,362.53,400.17,421.07,425.04,411.88,381.42,333.44,267.78,184.24,82.629,37.228,129.43,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,140.33,35.777,89.43,111.85,67.712,58.819,79.841,103.03,128.37,155.87,185.51,217.29,251.19,287.22,325.36,365.6,393.08,354.14,301.6,235.48,155.76,62.45,6.4707,54.858,106.96,149.88,183.61,208.16,215.6,169.71,115.9,54.168,15.492,93.061,178.56,231.03,142.89,59.71,18.598,83.665,126.88,297.81,429.14,520.88,573.03,520.76,453.14,377.15,292.79,200.06,105.34,11.14,90.805,160.85,174.32,206.28,256.73,325.68,413.13,519.08,606.44,358.03,156.99,9.1789,104.14,163.36,175.45,140.4,58.953,19.588,24.006,32.193,187.15,305.94,384.78,423.54,422.17,380.69,299.13,177.68,23.546,124.67,195.63,254.06,299.68,332.39,352.19,359.05,352.97,333.96,302.01,257.14,199.41,97.812,41.653,142.64,224.24,284.43,323.07,340.12,335.58,309.45,261.78,192.69,90.784,53.833,174.75,242.33,294.45,340.47,380.29,413.86,441.14,462.13,476.81,485.2,464.59,445.55,443.99,459.91,493.3,544.17,556.26,511.63,467.5,423.89,380.81,338.26,296.27,254.87,214.11,174.08,175.08,314.56,307.28,278.72,268.31,275.08,284.38,296.23,310.62,327.55,347.02,369.03,393.58,385.18,294.22,230.37,193.61,183.94,201.37,245.9,317.52,348.18,340.88,304.19,238.13,142.68,18.214,99.23,200.53,285.48,353.9,405.58,440.33,457.96,458.28,441.1,406.22,350.8,264.98,164.17,64.202,29.528,133.86,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,113.44,31.932,70.534,193.86,272.69,206.76,158.73,128.6,116.36,130.97,157.53,186.27,217.16,250.2,285.39,322.72,362.17,400.77,352.87,291.38,216.3,127.62,104.33,157,200.49,234.79,259.89,275.81,282.54,279.49,255.54,223.67,183.87,136.16,80.53,16.993,54.511,133.9,122.28,35.062,27.434,185.03,357.86,486.95,473.34,451.36,421.02,382.31,335.24,279.8,216,149.57,81.47,6.5839,77.437,150.03,180.6,229.64,297.18,383.22,487.76,473.65,251.64,77.34,52.207,131.79,164.73,150.56,89.557,25.721,177.4,272.38,335.83,474.33,572.8,631.15,649.38,627.47,517.06,361.41,185.86,111.12,111.33,114.19,103.49,146.82,195.83,235.33,261.58,273.45,270.58,253.06,221.46,177.54,166.12,136.31,150.57,232.84,293.75,333.12,350.92,347.12,321.75,274.85,206.56,117.59,38.582,122.68,188.6,249.33,304.14,352.79,395.21,431.35,461.2,484.74,501.98,502.56,483.38,481.67,497.43,530.67,581.37,552.54,514.2,476.36,439.04,402.24,365.96,330.22,295.04,260.44,226.46,193.16,204.3,206.28,221.65,239.56,260.02,283.02,308.56,336.64,367.27,400.43,436.13,474.38,442.96,339.62,263.38,214.23,192.18,197.23,229.37,288.61,374.94,416.44,385.59,325.36,235.74,95.407,36.972,153.01,252.52,335.3,401.15,449.88,481.3,481.86,460.89,424.94,374,308.07,227.16,148.98,63.106,33.497,140.89,NaN,NaN,NaN,NaN
